order	precursor	precursor_acc_num	miRNA_5p	miRNA_5p_acc_num	miRNA_3p	miRNA_3p_acc_num	
45_	hsa-mir-1204	MI0006337	hsa-miR-1204-5p	MIMAT0005868	na	na	
46_	hsa-mir-1205	MI0006338	hsa-miR-1205-5p	MIMAT0005869	na	na	
47_	hsa-mir-1206	MI0006339	hsa-miR-1206-5p	MIMAT0005870	na	na	
48_	hsa-mir-1207	MI0006340	hsa-miR-1207-5p	MIMAT0005871	hsa-miR-1207-3p	MIMAT0005872	
49_	hsa-mir-1208	MI0006341	hsa-miR-1208-5p	MIMAT0005873	na	na	
50_	hsa-mir-122	MI0000442	hsa-miR-122-5p	MIMAT0000421	hsa-miR-122-3p	MIMAT0004590	
51_	hsa-mir-1224	MI0003764	hsa-miR-1224-5p	MIMAT0005458	hsa-miR-1224-3p	MIMAT0005459	
52_	hsa-mir-1225	MI0006311	hsa-miR-1225-5p	MIMAT0005572	hsa-miR-1225-3p	MIMAT0005573	
53_	hsa-mir-1226	MI0006313	hsa-miR-1226-5p	MIMAT0005576	hsa-miR-1226-3p	MIMAT0005577	
54_	hsa-mir-1227	MI0006316	hsa-miR-1227-5p	MIMAT0022941	hsa-miR-1227-3p	MIMAT0005580	
55_	hsa-mir-1228	MI0006318	hsa-miR-1228-5p	MIMAT0005582	hsa-miR-1228-3p	MIMAT0005583	
56_	hsa-mir-1229	MI0006319	hsa-miR-1229-5p	MIMAT0022942	hsa-miR-1229-3p	MIMAT0005584	
57_	hsa-mir-1231	MI0006321	hsa-miR-1231-5p	MIMAT0005586	na	na	
58_	hsa-mir-1233-1	MI0006323	hsa-miR-1233-5p	MIMAT0022943	hsa-miR-1233-3p	MIMAT0005588	
59_	hsa-mir-1233-2	MI0015973	hsa-miR-1233-5p	MIMAT0022943	hsa-miR-1233-3p	MIMAT0005588	
60_	hsa-mir-1234	MI0006324	na	na	hsa-miR-1234-3p	MIMAT0005589	
61_	hsa-mir-1236	MI0006326	hsa-miR-1236-5p	MIMAT0022945	hsa-miR-1236-3p	MIMAT0005591	
62_	hsa-mir-1237	MI0006327	hsa-miR-1237-5p	MIMAT0022946	hsa-miR-1237-3p	MIMAT0005592	
63_	hsa-mir-1238	MI0006328	hsa-miR-1238-5p	MIMAT0022947	hsa-miR-1238-3p	MIMAT0005593	
64_	hsa-mir-124-1	MI0000443	hsa-miR-124-5p	MIMAT0004591	hsa-miR-124-3p	MIMAT0000422	
65_	hsa-mir-124-2	MI0000444	hsa-miR-124-5p	MIMAT0004591	hsa-miR-124-3p	MIMAT0000422	
66_	hsa-mir-124-3	MI0000445	hsa-miR-124-5p	MIMAT0004591	hsa-miR-124-3p	MIMAT0000422	
67_	hsa-mir-1243	MI0006373	hsa-miR-1243-5p	MIMAT0005894	na	na	
68_	hsa-mir-1244-1	MI0006379	na	na	hsa-miR-1244-3p	MIMAT0005896	
69_	hsa-mir-1244-2	MI0015974	na	na	hsa-miR-1244-3p	MIMAT0005896	
70_	hsa-mir-1244-3	MI0015975	na	na	hsa-miR-1244-3p	MIMAT0005896	
71_	hsa-mir-1245a	MI0006380	na	na	hsa-miR-1245a-3p	MIMAT0005897	
72_	hsa-mir-1245b	MI0017431	hsa-miR-1245b-5p	MIMAT0019950	hsa-miR-1245b-3p	MIMAT0019951	
73_	hsa-mir-1246	MI0006381	hsa-miR-1246-5p	MIMAT0005898	na	na	
74_	hsa-mir-1247	MI0006382	hsa-miR-1247-5p	MIMAT0005899	hsa-miR-1247-3p	MIMAT0022721	
75_	hsa-mir-1248	MI0006383	hsa-miR-1248-5p	MIMAT0005900	na	na	
76_	hsa-mir-1249	MI0006384	na	na	hsa-miR-1249-3p	MIMAT0005901	
77_	hsa-mir-1250	MI0006385	hsa-miR-1250-5p	MIMAT0005902	hsa-miR-1250-3p	MIMAT0026740	
78_	hsa-mir-1251	MI0006386	hsa-miR-1251-5p	MIMAT0005903	hsa-miR-1251-3p	MIMAT0026741	
79_	hsa-mir-1252	MI0006434	hsa-miR-1252-5p	MIMAT0005944	hsa-miR-1252-3p	MIMAT0026744	
80_	hsa-mir-1253	MI0006387	hsa-miR-1253-5p	MIMAT0005904	na	na	
81_	hsa-mir-1254-1	MI0006388	hsa-miR-1254-5p	MIMAT0005905	na	na	
82_	hsa-mir-1254-2	MI0016747	hsa-miR-1254-5p	MIMAT0005905	na	na	
83_	hsa-mir-1255a	MI0006389	hsa-miR-1255a-5p	MIMAT0005906	na	na	
84_	hsa-mir-1255b-1	MI0006435	hsa-miR-1255b-5p	MIMAT0005945	na	na	
85_	hsa-mir-1255b-2	MI0006436	hsa-miR-1255b-5p	MIMAT0005945	hsa-miR-1255b-2-3p	MIMAT0022725	
86_	hsa-mir-1256	MI0006390	hsa-miR-1256-5p	MIMAT0005907	na	na	
87_	hsa-mir-1257	MI0006391	hsa-miR-1257-5p	MIMAT0005908	na	na	
88_	hsa-mir-1258	MI0006392	na	na	hsa-miR-1258-3p	MIMAT0005909	
89_	hsa-mir-125a	MI0000469	hsa-miR-125a-5p	MIMAT0000443	hsa-miR-125a-3p	MIMAT0004602	
90_	hsa-mir-125b-1	MI0000446	hsa-miR-125b-5p	MIMAT0000423	hsa-miR-125b-1-3p	MIMAT0004592	
91_	hsa-mir-125b-2	MI0000470	hsa-miR-125b-5p	MIMAT0000423	hsa-miR-125b-2-3p	MIMAT0004603	
92_	hsa-mir-126	MI0000471	hsa-miR-126-5p	MIMAT0000444	hsa-miR-126-3p	MIMAT0000445	
93_	hsa-mir-1260a	MI0006394	hsa-miR-1260a-5p	MIMAT0005911	na	na	
94_	hsa-mir-1260b	MI0014197	hsa-miR-1260b-5p	MIMAT0015041	na	na	
95_	hsa-mir-1261	MI0006396	hsa-miR-1261-5p	MIMAT0005913	na	na	
96_	hsa-mir-1262	MI0006397	hsa-miR-1262-5p	MIMAT0005914	na	na	
97_	hsa-mir-1263	MI0006398	hsa-miR-1263-5p	MIMAT0005915	na	na	
98_	hsa-mir-1264	MI0003758	na	na	hsa-miR-1264-3p	MIMAT0005791	
99_	hsa-mir-1265	MI0006401	hsa-miR-1265-5p	MIMAT0005918	na	na	
100_	hsa-mir-1266	MI0006403	hsa-miR-1266-5p	MIMAT0005920	hsa-miR-1266-3p	MIMAT0026742	
101_	hsa-mir-1267	MI0006404	hsa-miR-1267-5p	MIMAT0005921	na	na	
102_	hsa-mir-1268a	MI0006405	hsa-miR-1268a-5p	MIMAT0005922	na	na	
103_	hsa-mir-1268b	MI0016748	hsa-miR-1268b-5p	MIMAT0018925	na	na	
104_	hsa-mir-1269a	MI0006406	na	na	hsa-miR-1269a-3p	MIMAT0005923	
105_	hsa-mir-1269b	MI0016888	hsa-miR-1269b-5p	MIMAT0019059	na	na	
106_	hsa-mir-127	MI0000472	hsa-miR-127-5p	MIMAT0004604	hsa-miR-127-3p	MIMAT0000446	
107_	hsa-mir-1270-1	MI0006407	hsa-miR-1270-5p	MIMAT0005924	na	na	
108_	hsa-mir-1270-2	MI0015976	hsa-miR-1270-5p	MIMAT0005924	na	na	
109_	hsa-mir-1271	MI0003814	hsa-miR-1271-5p	MIMAT0005796	hsa-miR-1271-3p	MIMAT0022712	
110_	hsa-mir-1272	MI0006408	hsa-miR-1272-5p	MIMAT0005925	na	na	
111_	hsa-mir-1273a	MI0006409	na	na	hsa-miR-1273a-3p	MIMAT0005926	
112_	hsa-mir-1273c	MI0014171	hsa-miR-1273c-5p	MIMAT0015017	na	na	
113_	hsa-mir-1273d	MI0014254	hsa-miR-1273d-5p	MIMAT0015090	na	na	
114_	hsa-mir-1273e	MI0016059	hsa-miR-1273e-5p	MIMAT0018079	na	na	
115_	hsa-mir-1273f	MI0018002	hsa-miR-1273f-5p	MIMAT0020601	na	na	
116_	hsa-mir-1273g	MI0018003	hsa-miR-1273g-5p	MIMAT0020602	hsa-miR-1273g-3p	MIMAT0022742	
117_	hsa-mir-1273h	MI0025512	hsa-miR-1273h-5p	MIMAT0030415	hsa-miR-1273h-3p	MIMAT0030416	
118_	hsa-mir-1275	MI0006415	hsa-miR-1275-5p	MIMAT0005929	na	na	
119_	hsa-mir-1276	MI0006416	hsa-miR-1276-5p	MIMAT0005930	na	na	
120_	hsa-mir-1277	MI0006419	hsa-miR-1277-5p	MIMAT0022724	hsa-miR-1277-3p	MIMAT0005933	
121_	hsa-mir-1278	MI0006425	na	na	hsa-miR-1278-3p	MIMAT0005936	
122_	hsa-mir-1279	MI0006426	hsa-miR-1279-5p	MIMAT0005937	na	na	
123_	hsa-mir-128-1	MI0000447	hsa-miR-128-1-5p	MIMAT0026477	hsa-miR-128-3p	MIMAT0000424	
124_	hsa-mir-128-2	MI0000727	hsa-miR-128-2-5p	MIMAT0031095	hsa-miR-128-3p	MIMAT0000424	
125_	hsa-mir-1281	MI0006428	na	na	hsa-miR-1281-3p	MIMAT0005939	
126_	hsa-mir-1282	MI0006429	hsa-miR-1282-5p	MIMAT0005940	na	na	
127_	hsa-mir-1283-1	MI0003832	hsa-miR-1283-5p	MIMAT0005799	na	na	
128_	hsa-mir-1283-2	MI0006430	hsa-miR-1283-5p	MIMAT0005799	na	na	
129_	hsa-mir-1284	MI0006431	hsa-miR-1284-5p	MIMAT0005941	na	na	
130_	hsa-mir-1285-1	MI0006346	hsa-miR-1285-5p	MIMAT0022719	hsa-miR-1285-3p	MIMAT0005876	
131_	hsa-mir-1285-2	MI0006347	na	na	hsa-miR-1285-3p	MIMAT0005876	
132_	hsa-mir-1286	MI0006348	na	na	hsa-miR-1286-3p	MIMAT0005877	
133_	hsa-mir-1287	MI0006349	hsa-miR-1287-5p	MIMAT0005878	hsa-miR-1287-3p	MIMAT0026738	
134_	hsa-mir-1288	MI0006432	hsa-miR-1288-5p	MIMAT0026743	hsa-miR-1288-3p	MIMAT0005942	
135_	hsa-mir-1289-1	MI0006350	na	na	hsa-miR-1289-3p	MIMAT0005879	
136_	hsa-mir-1289-2	MI0006351	na	na	hsa-miR-1289-3p	MIMAT0005879	
137_	hsa-mir-129-1	MI0000252	hsa-miR-129-5p	MIMAT0000242	hsa-miR-129-1-3p	MIMAT0004548	
138_	hsa-mir-129-2	MI0000473	hsa-miR-129-5p	MIMAT0000242	hsa-miR-129-2-3p	MIMAT0004605	
139_	hsa-mir-1290	MI0006352	na	na	hsa-miR-1290-3p	MIMAT0005880	
140_	hsa-mir-1291	MI0006353	hsa-miR-1291-5p	MIMAT0005881	na	na	
141_	hsa-mir-1292	MI0006433	hsa-miR-1292-5p	MIMAT0005943	hsa-miR-1292-3p	MIMAT0022948	
142_	hsa-mir-1293	MI0006355	hsa-miR-1293-5p	MIMAT0005883	na	na	
143_	hsa-mir-1294	MI0006356	hsa-miR-1294-5p	MIMAT0005884	na	na	
144_	hsa-mir-1295a	MI0006357	na	na	hsa-miR-1295a-3p	MIMAT0005885	
145_	hsa-mir-1295b	MI0019146	hsa-miR-1295b-5p	MIMAT0022293	hsa-miR-1295b-3p	MIMAT0022294	
146_	hsa-mir-1296	MI0003780	hsa-miR-1296-5p	MIMAT0005794	hsa-miR-1296-3p	MIMAT0026637	
147_	hsa-mir-1297	MI0006358	na	na	hsa-miR-1297-3p	MIMAT0005886	
148_	hsa-mir-1298	MI0003938	hsa-miR-1298-5p	MIMAT0005800	hsa-miR-1298-3p	MIMAT0026641	
149_	hsa-mir-1299	MI0006359	na	na	hsa-miR-1299-3p	MIMAT0005887	
150_	hsa-mir-1301	MI0003815	hsa-miR-1301-5p	MIMAT0026639	hsa-miR-1301-3p	MIMAT0005797	
151_	hsa-mir-1302-1	MI0006362	na	na	hsa-miR-1302-3p	MIMAT0005890	
152_	hsa-mir-1302-10	MI0015979	na	na	hsa-miR-1302-3p	MIMAT0005890	
153_	hsa-mir-1302-11	MI0015980	na	na	hsa-miR-1302-3p	MIMAT0005890	
154_	hsa-mir-1302-2	MI0006363	na	na	hsa-miR-1302-3p	MIMAT0005890	
155_	hsa-mir-1302-3	MI0006364	na	na	hsa-miR-1302-3p	MIMAT0005890	
156_	hsa-mir-1302-4	MI0006365	na	na	hsa-miR-1302-3p	MIMAT0005890	
157_	hsa-mir-1302-5	MI0006366	na	na	hsa-miR-1302-3p	MIMAT0005890	
158_	hsa-mir-1302-6	MI0006367	na	na	hsa-miR-1302-3p	MIMAT0005890	
159_	hsa-mir-1302-7	MI0006368	na	na	hsa-miR-1302-3p	MIMAT0005890	
160_	hsa-mir-1302-8	MI0006369	na	na	hsa-miR-1302-3p	MIMAT0005890	
161_	hsa-mir-1302-9	MI0015978	na	na	hsa-miR-1302-3p	MIMAT0005890	
162_	hsa-mir-1303	MI0006370	na	na	hsa-miR-1303-3p	MIMAT0005891	
163_	hsa-mir-1304	MI0006371	hsa-miR-1304-5p	MIMAT0005892	hsa-miR-1304-3p	MIMAT0022720	
164_	hsa-mir-1305	MI0006372	na	na	hsa-miR-1305-3p	MIMAT0005893	
165_	hsa-mir-1306	MI0006443	hsa-miR-1306-5p	MIMAT0022726	hsa-miR-1306-3p	MIMAT0005950	
166_	hsa-mir-1307	MI0006444	hsa-miR-1307-5p	MIMAT0022727	hsa-miR-1307-3p	MIMAT0005951	
167_	hsa-mir-130a	MI0000448	hsa-miR-130a-5p	MIMAT0004593	hsa-miR-130a-3p	MIMAT0000425	
168_	hsa-mir-130b	MI0000748	hsa-miR-130b-5p	MIMAT0004680	hsa-miR-130b-3p	MIMAT0000691	
169_	hsa-mir-132	MI0000449	hsa-miR-132-5p	MIMAT0004594	hsa-miR-132-3p	MIMAT0000426	
170_	hsa-mir-1321	MI0006652	na	na	hsa-miR-1321-3p	MIMAT0005952	
171_	hsa-mir-1322	MI0006653	na	na	hsa-miR-1322-3p	MIMAT0005953	
172_	hsa-mir-1323	MI0003786	hsa-miR-1323-5p	MIMAT0005795	na	na	
173_	hsa-mir-1324	MI0006657	na	na	hsa-miR-1324-3p	MIMAT0005956	
174_	hsa-mir-133a-1	MI0000450	hsa-miR-133a-5p	MIMAT0026478	hsa-miR-133a-3p	MIMAT0000427	
175_	hsa-mir-133a-2	MI0000451	hsa-miR-133a-5p	MIMAT0026478	hsa-miR-133a-3p	MIMAT0000427	
176_	hsa-mir-133b	MI0000822	na	na	hsa-miR-133b-3p	MIMAT0000770	
177_	hsa-mir-134	MI0000474	hsa-miR-134-5p	MIMAT0000447	hsa-miR-134-3p	MIMAT0026481	
178_	hsa-mir-1343	MI0017320	hsa-miR-1343-5p	MIMAT0027038	hsa-miR-1343-3p	MIMAT0019776	
179_	hsa-mir-135a-1	MI0000452	hsa-miR-135a-5p	MIMAT0000428	hsa-miR-135a-3p	MIMAT0004595	
180_	hsa-mir-135a-2	MI0000453	hsa-miR-135a-5p	MIMAT0000428	na	na	
181_	hsa-mir-135b	MI0000810	hsa-miR-135b-5p	MIMAT0000758	hsa-miR-135b-3p	MIMAT0004698	
182_	hsa-mir-136	MI0000475	hsa-miR-136-5p	MIMAT0000448	hsa-miR-136-3p	MIMAT0004606	
183_	hsa-mir-137	MI0000454	na	na	hsa-miR-137-3p	MIMAT0000429	
184_	hsa-mir-138-1	MI0000476	hsa-miR-138-5p	MIMAT0000430	hsa-miR-138-1-3p	MIMAT0004607	
185_	hsa-mir-138-2	MI0000455	hsa-miR-138-5p	MIMAT0000430	hsa-miR-138-2-3p	MIMAT0004596	
186_	hsa-mir-139	MI0000261	hsa-miR-139-5p	MIMAT0000250	hsa-miR-139-3p	MIMAT0004552	
187_	hsa-mir-140	MI0000456	hsa-miR-140-5p	MIMAT0000431	hsa-miR-140-3p	MIMAT0004597	
188_	hsa-mir-141	MI0000457	hsa-miR-141-5p	MIMAT0004598	hsa-miR-141-3p	MIMAT0000432	
189_	hsa-mir-142	MI0000458	hsa-miR-142-5p	MIMAT0000433	hsa-miR-142-3p	MIMAT0000434	
190_	hsa-mir-143	MI0000459	hsa-miR-143-5p	MIMAT0004599	hsa-miR-143-3p	MIMAT0000435	
191_	hsa-mir-144	MI0000460	hsa-miR-144-5p	MIMAT0004600	hsa-miR-144-3p	MIMAT0000436	
192_	hsa-mir-145	MI0000461	hsa-miR-145-5p	MIMAT0000437	hsa-miR-145-3p	MIMAT0004601	
193_	hsa-mir-1468	MI0003782	hsa-miR-1468-5p	MIMAT0006789	hsa-miR-1468-3p	MIMAT0026638	
194_	hsa-mir-1469	MI0007074	hsa-miR-1469-5p	MIMAT0007347	na	na	
195_	hsa-mir-146a	MI0000477	hsa-miR-146a-5p	MIMAT0000449	hsa-miR-146a-3p	MIMAT0004608	
196_	hsa-mir-146b	MI0003129	hsa-miR-146b-5p	MIMAT0002809	hsa-miR-146b-3p	MIMAT0004766	
197_	hsa-mir-1470	MI0007075	hsa-miR-1470-5p	MIMAT0007348	na	na	
198_	hsa-mir-1471	MI0007076	hsa-miR-1471-5p	MIMAT0007349	na	na	
199_	hsa-mir-147a	MI0000262	na	na	hsa-miR-147a-3p	MIMAT0000251	
200_	hsa-mir-147b	MI0005544	na	na	hsa-miR-147b-3p	MIMAT0004928	
201_	hsa-mir-148a	MI0000253	hsa-miR-148a-5p	MIMAT0004549	hsa-miR-148a-3p	MIMAT0000243	
202_	hsa-mir-148b	MI0000811	hsa-miR-148b-5p	MIMAT0004699	hsa-miR-148b-3p	MIMAT0000759	
203_	hsa-mir-149	MI0000478	hsa-miR-149-5p	MIMAT0000450	hsa-miR-149-3p	MIMAT0004609	
204_	hsa-mir-150	MI0000479	hsa-miR-150-5p	MIMAT0000451	hsa-miR-150-3p	MIMAT0004610	
205_	hsa-mir-151a	MI0000809	hsa-miR-151a-5p	MIMAT0004697	hsa-miR-151a-3p	MIMAT0000757	
206_	hsa-mir-151b	MI0003772	na	na	hsa-miR-151b-3p	MIMAT0010214	
207_	hsa-mir-152	MI0000462	hsa-miR-152-5p	MIMAT0026479	hsa-miR-152-3p	MIMAT0000438	
208_	hsa-mir-153-1	MI0000463	na	na	hsa-miR-153-3p	MIMAT0000439	
209_	hsa-mir-153-2	MI0000464	hsa-miR-153-5p	MIMAT0026480	hsa-miR-153-3p	MIMAT0000439	
210_	hsa-mir-1537	MI0007258	hsa-miR-1537-5p	MIMAT0026765	hsa-miR-1537-3p	MIMAT0007399	
211_	hsa-mir-1538	MI0007259	na	na	hsa-miR-1538-3p	MIMAT0007400	
212_	hsa-mir-1539	MI0007260	na	na	hsa-miR-1539-3p	MIMAT0007401	
213_	hsa-mir-154	MI0000480	hsa-miR-154-5p	MIMAT0000452	hsa-miR-154-3p	MIMAT0000453	
214_	hsa-mir-155	MI0000681	hsa-miR-155-5p	MIMAT0000646	hsa-miR-155-3p	MIMAT0004658	
215_	hsa-mir-1587	MI0016905	hsa-miR-1587-5p	MIMAT0019077	na	na	
216_	hsa-mir-15a	MI0000069	hsa-miR-15a-5p	MIMAT0000068	hsa-miR-15a-3p	MIMAT0004488	
217_	hsa-mir-15b	MI0000438	hsa-miR-15b-5p	MIMAT0000417	hsa-miR-15b-3p	MIMAT0004586	
218_	hsa-mir-16-1	MI0000070	hsa-miR-16-5p	MIMAT0000069	hsa-miR-16-1-3p	MIMAT0004489	
219_	hsa-mir-16-2	MI0000115	hsa-miR-16-5p	MIMAT0000069	hsa-miR-16-2-3p	MIMAT0004518	
220_	hsa-mir-17	MI0000071	hsa-miR-17-5p	MIMAT0000070	hsa-miR-17-3p	MIMAT0000071	
221_	hsa-mir-181a-1	MI0000289	hsa-miR-181a-5p	MIMAT0000256	hsa-miR-181a-3p	MIMAT0000270	
222_	hsa-mir-181a-2	MI0000269	hsa-miR-181a-5p	MIMAT0000256	hsa-miR-181a-2-3p	MIMAT0004558	
223_	hsa-mir-181b-1	MI0000270	hsa-miR-181b-5p	MIMAT0000257	hsa-miR-181b-3p	MIMAT0022692	
224_	hsa-mir-181b-2	MI0000683	hsa-miR-181b-5p	MIMAT0000257	na	na	
225_	hsa-mir-181c	MI0000271	hsa-miR-181c-5p	MIMAT0000258	hsa-miR-181c-3p	MIMAT0004559	
226_	hsa-mir-181d	MI0003139	hsa-miR-181d-5p	MIMAT0002821	hsa-miR-181d-3p	MIMAT0026608	
227_	hsa-mir-182	MI0000272	hsa-miR-182-5p	MIMAT0000259	hsa-miR-182-3p	MIMAT0000260	
228_	hsa-mir-1825	MI0008193	na	na	hsa-miR-1825-3p	MIMAT0006765	
229_	hsa-mir-1827	MI0008195	na	na	hsa-miR-1827-3p	MIMAT0006767	
230_	hsa-mir-183	MI0000273	hsa-miR-183-5p	MIMAT0000261	hsa-miR-183-3p	MIMAT0004560	
231_	hsa-mir-184	MI0000481	na	na	hsa-miR-184-3p	MIMAT0000454	
232_	hsa-mir-185	MI0000482	hsa-miR-185-5p	MIMAT0000455	hsa-miR-185-3p	MIMAT0004611	
233_	hsa-mir-186	MI0000483	hsa-miR-186-5p	MIMAT0000456	hsa-miR-186-3p	MIMAT0004612	
234_	hsa-mir-187	MI0000274	hsa-miR-187-5p	MIMAT0004561	hsa-miR-187-3p	MIMAT0000262	
235_	hsa-mir-188	MI0000484	hsa-miR-188-5p	MIMAT0000457	hsa-miR-188-3p	MIMAT0004613	
236_	hsa-mir-18a	MI0000072	hsa-miR-18a-5p	MIMAT0000072	hsa-miR-18a-3p	MIMAT0002891	
237_	hsa-mir-18b	MI0001518	hsa-miR-18b-5p	MIMAT0001412	hsa-miR-18b-3p	MIMAT0004751	
238_	hsa-mir-1908	MI0008329	hsa-miR-1908-5p	MIMAT0007881	hsa-miR-1908-3p	MIMAT0026916	
239_	hsa-mir-1909	MI0008330	hsa-miR-1909-5p	MIMAT0007882	hsa-miR-1909-3p	MIMAT0007883	
240_	hsa-mir-190a	MI0000486	hsa-miR-190a-5p	MIMAT0000458	hsa-miR-190a-3p	MIMAT0026482	
241_	hsa-mir-190b	MI0005545	hsa-miR-190b-5p	MIMAT0004929	na	na	
242_	hsa-mir-191	MI0000465	hsa-miR-191-5p	MIMAT0000440	hsa-miR-191-3p	MIMAT0001618	
243_	hsa-mir-1910	MI0008331	hsa-miR-1910-5p	MIMAT0007884	hsa-miR-1910-3p	MIMAT0026917	
244_	hsa-mir-1911	MI0008332	hsa-miR-1911-5p	MIMAT0007885	hsa-miR-1911-3p	MIMAT0007886	
245_	hsa-mir-1912	MI0008333	na	na	hsa-miR-1912-3p	MIMAT0007887	
246_	hsa-mir-1913	MI0008334	na	na	hsa-miR-1913-3p	MIMAT0007888	
247_	hsa-mir-1914	MI0008335	hsa-miR-1914-5p	MIMAT0007889	hsa-miR-1914-3p	MIMAT0007890	
248_	hsa-mir-1915	MI0008336	hsa-miR-1915-5p	MIMAT0007891	hsa-miR-1915-3p	MIMAT0007892	
249_	hsa-mir-192	MI0000234	hsa-miR-192-5p	MIMAT0000222	hsa-miR-192-3p	MIMAT0004543	
